Date,Open,High,Low,Close
2005-11-28,5.207,5.224,5.14,5.182
2005-11-29,5.177,5.294,5.177,5.272
2005-11-30,5.282,5.357,5.271,5.333
2005-12-01,5.322,5.397,5.263,5.274
2005-12-02,5.271,5.278,5.176,5.203
2005-12-05,5.189,5.221,5.181,5.213
2005-12-06,5.137,5.201,5.136,5.197
2005-12-07,5.194,5.22,5.19,5.22
2005-12-08,5.226,5.298,5.217,5.283
2005-12-09,5.271,5.348,5.239,5.319
2005-12-12,5.304,5.314,5.232,5.278
2005-12-13,5.262,5.3,5.218,5.256
2005-12-14,5.253,5.253,5.114,5.13
2005-12-15,5.129,5.188,5.089,5.188
2005-12-16,5.188,5.229,5.188,5.197
2005-12-19,5.189,5.203,5.131,5.136
2005-12-20,5.146,5.154,5.113,5.133
2005-12-21,5.123,5.147,5.105,5.12
2005-12-22,5.119,5.141,5.073,5.078
2005-12-23,5.078,5.104,5.052,5.055
2005-12-26,5.055,5.055,5.055,5.055
2005-12-27,5.055,5.081,5.024,5.041
2005-12-28,5.047,5.106,5.046,5.076
2005-12-29,5.075,5.121,5.066,5.086
2005-12-30,5.086,5.129,5.085,5.1
2006-01-02,5.114,5.145,5.11,5.118
2006-01-03,5.138,5.148,5.086,5.086
2006-01-04,5.047,5.059,4.995,4.999
2006-01-05,5.009,5.051,4.977,5.035
2006-01-06,5.034,5.065,5.022,5.036
2006-01-09,4.903,4.92,4.879,4.913
2006-01-10,4.905,4.957,4.902,4.941
2006-01-11,4.94,4.975,4.832,4.902
2006-01-12,4.894,4.921,4.765,4.813
2006-01-13,4.839,4.905,4.828,4.864
2006-01-16,4.86,4.89,4.82,4.855
2006-01-17,4.84,4.96,4.812,4.925
2006-01-18,4.925,5.014,4.914,4.993
2006-01-19,4.992,5.01,4.926,4.982
2006-01-20,4.982,4.984,4.897,4.947
2006-01-23,4.95,4.959,4.923,4.948
2006-01-24,4.903,4.915,4.857,4.881
2006-01-25,4.872,4.914,4.833,4.879
2006-01-26,4.915,4.995,4.893,4.979
2006-01-27,4.979,5.02,4.965,4.991
2006-01-30,5.003,5.107,4.997,5.075
2006-01-31,5.074,5.095,5.016,5.051
2006-02-01,5.041,5.041,4.937,5
2006-02-02,4.999,5.01,4.972,4.986
2006-02-03,4.985,5.029,4.983,4.993
2006-02-06,4.98,4.98,4.943,4.951
2006-02-07,4.951,4.964,4.925,4.94
2006-02-08,4.94,4.982,4.912,4.946
